xflr5 v6.62,,,,,,,,,,,
,,,,,,,,,,,
 Calculated polar for: NACA 0010,,,,,,,,,,,
,,,,,,,,,,,
 1 1 Reynolds number fixed          Mach number fixed         ,,,,,,,,,,,
,,,,,,,,,,,
 xtrf =   1.000 (top)        1.000 (bottom),,,,,,,,,,,
 Mach =   0.000     Re =    40.000 e 6     Ncrit =   9.000,,,,,,,,,,,
,,,,,,,,,,,
alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp,,
-25,-1.9096,0.08729,0.08504,-0.0102,1,0.0029,-29.1904,0,0,0,0.2015
-24,-2.0519,0.05492,0.05225,-0.0264,1,0.0029,-30.5712,0,0,0,0.1973
-23,-2.0997,0.038,0.03505,-0.0322,1,0.0029,-30.2507,0,0,0,0.198
-22,-2.1029,0.02844,0.0253,-0.0318,1,0.0029,-29.1865,0,0,0,0.201
-21,-2.084,0.02275,0.01946,-0.0272,1,0.0029,-27.7848,0,0,0,0.2056
-20,-2.052,0.01935,0.01595,-0.0196,1,0.0029,-26.2127,0,0,0,0.2115
-19,-2.0021,0.01721,0.01373,-0.0117,1,0.003,-24.4488,0,0,0,0.2175
-18,-1.9249,0.01546,0.01194,-0.0078,1,0.003,-22.435,0,0,0,0.2215
-17,-1.8388,0.01396,0.0104,-0.005,1,0.003,-20.4016,0,0,0,0.2251
-16,-1.7466,0.01263,0.00905,-0.0029,1,0.003,-18.393,0,0,0,0.2282
-15,-1.65,0.01145,0.00786,-0.0013,1,0.003,-16.4349,0,0,0,0.2311
-14,-1.55,0.0104,0.00682,-0.0001,1,0.003,-14.5451,0,0,0,0.2337
-13,-1.4474,0.00945,0.00588,0.0008,1,0.0031,-12.7361,0,0,0,0.2361
-12,-1.3392,0.0086,0.00504,0.0008,0.9864,0.0034,-10.9921,0,0,0,0.2378
-11,-1.2359,0.00791,0.00428,0.002,0.9328,0.0046,-9.3986,0,0,0,0.2404
-10,-1.1295,0.00719,0.00346,0.0027,0.8618,0.0065,-7.8974,0,0,0,0.2425
-9,-1.0197,0.00674,0.00291,0.0028,0.789,0.0067,-6.4843,0,0,0,0.2442
-7,-0.7968,0.00605,0.00201,0.0026,0.6408,0.0093,-4.1665,0,0,0,0.2469
-5,-0.571,0.00548,0.0013,0.0021,0.5044,0.017,-2.4121,0,0,0,0.2489
-4,-0.4574,0.00527,0.00103,0.0017,0.4361,0.0266,-1.725,0,0,0,0.2497
-3,-0.343,0.00514,0.00084,0.0013,0.3676,0.039,-1.1761,0,0,0,0.2501
-2,-0.2289,0.00497,0.00067,0.0009,0.3064,0.0725,-0.7799,0,0,0,0.2506
-1,-0.1144,0.00488,0.00057,0.0004,0.2403,0.118,-0.5067,0,0,0,0.2508
0,0,0.00484,0.00055,0,0.1758,0.1758,-0.3432,0,0,0,0.1195
2,0.2289,0.00497,0.00067,-0.0009,0.0725,0.3064,-0.7799,0,0,0,0.2506
3,0.343,0.00514,0.00084,-0.0013,0.039,0.3676,-1.1761,0,0,0,0.2501
4,0.4574,0.00527,0.00103,-0.0017,0.0266,0.4361,-1.725,0,0,0,0.2497
5,0.571,0.00548,0.0013,-0.0021,0.017,0.5044,-2.4122,0,0,0,0.2489
7,0.7969,0.00605,0.00201,-0.0026,0.0093,0.6408,-4.1667,0,0,0,0.2469
9,1.0198,0.00674,0.00291,-0.0028,0.0067,0.789,-6.4847,0,0,0,0.2442
10,1.1295,0.00719,0.00346,-0.0027,0.0065,0.8618,-7.898,0,0,0,0.2425
11,1.236,0.00791,0.00428,-0.0021,0.0046,0.9328,-9.3994,0,0,0,0.2404
12,1.3393,0.0086,0.00504,-0.0008,0.0034,0.9864,-10.9932,0,0,0,0.2378
13,1.4475,0.00945,0.00588,-0.0009,0.0031,1,-12.7373,0,0,0,0.2361
14,1.5502,0.0104,0.00682,0,0.003,1,-14.5468,0,0,0,0.2337
15,1.6503,0.01145,0.00786,0.0012,0.003,1,-16.4372,0,0,0,0.2311
16,1.7469,0.01263,0.00905,0.0028,0.003,1,-18.3961,0,0,0,0.2283
17,1.8392,0.01396,0.0104,0.0049,0.003,1,-20.4058,0,0,0,0.2251
18,1.9255,0.01546,0.01194,0.0077,0.003,1,-22.4409,0,0,0,0.2216
19,2.0029,0.01721,0.01373,0.0116,0.003,1,-24.458,0,0,0,0.2176
20,2.0538,0.01934,0.01594,0.0193,0.0029,1,-26.2332,0,0,0,0.2117
21,2.0865,0.02271,0.01942,0.0268,0.0029,1,-27.8152,0,0,0,0.2058
22,2.1065,0.02832,0.02518,0.0313,0.0029,1,-29.2326,0,0,0,0.2012
23,2.1046,0.03778,0.03483,0.0316,0.0029,1,-30.3157,0,0,0,0.1982
24,2.0587,0.05452,0.05184,0.0258,0.0029,1,-30.6654,0,0,0,0.1976
25,1.9086,0.08816,0.08593,0.0088,0.0029,1,-29.1488,0,0,0,0.2022
